term	arousal
thirst for	0.204
struggle to	0.202
bet on	0.202
lotto ticket	0.202
motor city	0.202
picky eater	0.202
mob rule	0.202
smack down	0.202
stand corrected	0.202
high horse	0.202
business expense	0.200
porn star	0.200
measuring stick	0.200
stir up	0.200
rat poison	0.200
spot on	0.200
public transport	0.200
building blocks	0.200
piss off	0.200
student council	0.200
easter bunny	0.200
special interest	0.200
time travel	0.200
tough out	0.200
city center	0.200
garbage man	0.200
spoiler alert	0.200
intelligence community	0.200
test results	0.200
start up	0.200
sound effect	0.200
have connections	0.200
cross section	0.200
post game	0.200
road trip	0.200
personal income	0.200
opening night	0.200
government official	0.200
sales person	0.200
roller derby	0.200
opening sequence	0.200
ulterior motive	0.200
fleshed out	0.200
public transportation	0.200
golden ticket	0.200
natural resources	0.200
well connected	0.198
sales team	0.198
could hardly	0.198
dinner party	0.198
nazi party	0.198
smart watch	0.196
upper echelon	0.196
on parade	0.196
board meeting	0.196
large quantities	0.196
justice department	0.196
cover up	0.196
drive you	0.196
minority report	0.196
carbon emissions	0.196
world record	0.196
political party	0.196
blood transfusion	0.196
holy cow	0.196
bloody mary	0.196
electrical engineer	0.196
strings attached	0.196
speed bump	0.196
race relations	0.196
awe inspiring	0.196
conjure up	0.196
suck up	0.196
break away	0.196
big money	0.196
graphic designer	0.196
market value	0.196
proportional representation	0.196
mobile phone	0.196
reality check	0.196
air show	0.196
gold rush	0.196
slumber party	0.196
midlife crisis	0.196
exercise bike	0.196
double date	0.196
train set	0.196
karaoke bar	0.196
moving up	0.196
ad infinitum	0.196
associate professor	0.196
trade on	0.196
blood clot	0.196
management company	0.196
personal best	0.196
take offense	0.194
handing over	0.194
solar powered	0.194
holiday season	0.194
crash test	0.194
in trouble	0.194
straight away	0.194
in force	0.194
brighten up	0.194
bang on	0.194
self destruct	0.194
court case	0.194
league season	0.194
motor vehicle	0.194
high note	0.194
young buck	0.194
family reunion	0.194
strong man	0.194
game room	0.194
full force	0.194
prepare for	0.194
do work	0.194
hockey season	0.194
mosh pit	0.194
wild card	0.194
red flag	0.194
animal kingdom	0.194
on sale	0.194
urban legend	0.194
poke at	0.194
internet service	0.194
name calling	0.192
by accident	0.192
stumble into	0.192
waffle fries	0.192
hunting season	0.192
kidney disease	0.192
elected official	0.192
house party	0.192
look sharp	0.192
aimed at	0.192
assistant coach	0.192
red zone	0.192
alpha male	0.192
high heels	0.191
sustainable development	0.190
world market	0.190
head scratcher	0.190
trade in	0.190
black ops	0.190
app store	0.190
away game	0.190
double up	0.190
dependent upon	0.190
ice breaker	0.190
defining moment	0.190
too large	0.190
going strong	0.190
daily double	0.190
new ideas	0.190
hail mary	0.190
community center	0.190
search engine	0.190
security council	0.190
popular vote	0.190
mount everest	0.190
pacific rim	0.190
gravy train	0.190
fun run	0.190
smoke shop	0.190
soviet union	0.190
break loose	0.190
edge in	0.190
cast on	0.190
big word	0.190
subconscious mind	0.190
straight up	0.188
ache for	0.188
dead giveaway	0.188
diamond ring	0.188
work around	0.188
big bucks	0.188
moral imperative	0.188
high on	0.188
video recording	0.188
big government	0.188
support group	0.188
construction site	0.188
insurance coverage	0.188
force out	0.188
have surgery	0.188
prank call	0.188
social worker	0.188
blast off	0.188
nursing school	0.188
body armor	0.188
suit up	0.188
close attention	0.188
follow through	0.186
white power	0.186
figure skating	0.186
flash flood	0.186
executive director	0.186
act up	0.186
go toward	0.186
rat race	0.186
booty call	0.186
free thinker	0.186
spoken word	0.186
and counting	0.186
judas priest	0.186
fashion show	0.186
dirt bike	0.186
war criminal	0.186
swing at	0.186
good shot	0.186
minority leader	0.186
positive feedback	0.186
rock band	0.186
class action	0.184
jump over	0.184
time management	0.184
social event	0.184
big question	0.184
head first	0.184
hang up	0.184
glory days	0.184
search party	0.184
hopped up	0.184
chili sauce	0.184
bug out	0.184
top scorer	0.184
emotional person	0.184
governing body	0.184
strike up	0.184
voodoo doll	0.184
count against	0.184
root canal	0.184
push it	0.184
flush with	0.184
select committee	0.184
golden boy	0.184
pit bull	0.184
move ahead	0.184
public transit	0.184
high end	0.184
double agent	0.182
grand slam	0.182
forward pass	0.182
hard pressed	0.182
friendly fire	0.182
sugar high	0.182
space needle	0.182
talk about	0.182
gay pride	0.182
screw over	0.182
get rolling	0.182
current events	0.182
interest rate	0.182
jaw dropping	0.182
double for	0.182
joint chiefs	0.182
ramp up	0.182
on edge	0.182
knee jerk	0.182
property rights	0.182
federal holiday	0.182
all downhill	0.182
football player	0.182
king sized	0.182
public housing	0.180
fly at	0.180
magnum opus	0.180
range with	0.180
switch over	0.180
bent on	0.180
get service	0.180
extra innings	0.180
level up	0.180
make friends	0.180
obsess over	0.180
home run	0.180
run away	0.180
hype up	0.180
grand jury	0.180
software company	0.180
time bomb	0.180
in pain	0.180
work out	0.180
gas pump	0.180
slam dunk	0.180
first class	0.180
hot box	0.180
radio broadcast	0.180
plug into	0.180
self esteem	0.180
harp on	0.180
identity crisis	0.178
medical condition	0.178
first baseman	0.178
world series	0.178
add to	0.178
court room	0.178
wide awake	0.178
fantasy football	0.178
computer system	0.178
take steps	0.178
serious money	0.178
pounce on	0.178
windy city	0.178
can't wait	0.178
take drugs	0.178
goal scorer	0.178
hammer down	0.178
take advantage	0.178
you're fired	0.178
grown up	0.178
save from	0.178
straight person	0.178
crash course	0.178
opposite sex	0.178
smart guy	0.178
skid row	0.176
heavy duty	0.176
student union	0.176
labor force	0.176
god damn	0.176
virtual reality	0.176
drug store	0.176
public servant	0.176
trip up	0.176
cruise ship	0.175
test match	0.174
tough crowd	0.174
bus service	0.174
key role	0.174
kick out	0.174
meet up	0.174
burn down	0.174
digital media	0.174
money talks	0.174
jigsaw puzzle	0.174
product line	0.174
for laughs	0.174
the hell	0.174
character actor	0.174
election day	0.174
wild about	0.174
digestive system	0.174
intellectual property	0.174
swing by	0.174
lunatic fringe	0.174
hockey stick	0.174
moral obligation	0.174
bus driver	0.174
flash back	0.174
court order	0.174
learning disability	0.174
navy seal	0.172
wolf pack	0.172
move out	0.172
boarding school	0.172
government policies	0.172
dancing around	0.172
take sides	0.172
civil service	0.172
do wonders	0.172
fortune teller	0.172
run across	0.172
federal party	0.172
make money	0.172
big game	0.172
higher learning	0.172
hit up	0.172
aston martin	0.172
big talk	0.172
renewable energy	0.172
death trap	0.172
in contention	0.172
screw with	0.172
file in	0.172
throw away	0.172
theme song	0.172
black panther	0.172
most especially	0.172
chump change	0.172
medical treatment	0.172
black widow	0.172
top priority	0.172
pump out	0.172
little kid	0.172
public square	0.172
water polo	0.170
sparkling water	0.170
estate market	0.170
compound interest	0.170
ten commandments	0.170
line worker	0.170
bachelor's degree	0.170
go straight	0.170
serious injury	0.170
delta wave	0.170
test run	0.170
practical nurse	0.170
ball game	0.170
hard liquor	0.170
bite off	0.170
high levels	0.170
emergency fund	0.170
taxi squad	0.170
desperate for	0.170
coast guard	0.170
the crunch	0.170
sticky fingers	0.170
strip of	0.170
strike at	0.170
russian roulette	0.170
living hell	0.170
debt ceiling	0.170
walk up	0.170
over priced	0.170
get worse	0.170
power lines	0.170
haunted house	0.170
fashion industry	0.170
come on	0.170
doc martens	0.170
sound track	0.170
direct result	0.168
online banking	0.168
law professor	0.168
cry baby	0.168
reading material	0.168
cough up	0.166
huge part	0.166
wild animal	0.166
married couple	0.166
business center	0.166
best chance	0.166
cash flow	0.166
speak up	0.166
convention center	0.166
do research	0.166
stripper pole	0.166
chest pain	0.166
giant leap	0.166
language barrier	0.166
costume party	0.166
mess up	0.166
news release	0.166
truck driver	0.166
fork over	0.166
night life	0.166
the go-ahead	0.166
upset stomach	0.166
take off	0.166
stay alive	0.166
power grid	0.166
spread over	0.166
winning over	0.166
eff off	0.166
mixed race	0.166
gold standard	0.164
big guy	0.164
drop kick	0.164
power supply	0.164
red card	0.164
cautionary tale	0.164
come through	0.164
go together	0.164
wide world	0.164
sales pitch	0.164
new generation	0.164
hot stove	0.164
ball pit	0.164
mind control	0.164
baseball bat	0.164
first amendment	0.164
run around	0.164
bring down	0.164
broke out	0.164
nut job	0.164
sock puppet	0.164
checking account	0.164
pep talk	0.164
feel up	0.164
banking system	0.164
stumble upon	0.164
pickup truck	0.164
high life	0.164
food waste	0.164
drama queen	0.164
code red	0.164
press charges	0.162
make into	0.162
bush league	0.162
dig out	0.162
start on	0.162
crawl in	0.162
working man	0.162
deep water	0.162
mutually beneficial	0.162
greater than	0.162
bite at	0.162
majority rule	0.162
group meeting	0.162
mutually exclusive	0.162
extra curricular	0.162
anime series	0.162
seek out	0.162
dip into	0.162
rise above	0.162
go ape	0.162
risky business	0.162
record label	0.162
crack up	0.162
ice machine	0.162
tear gas	0.162
honourable mention	0.162
guest speaker	0.162
help wanted	0.162
crossing over	0.162
focus group	0.162
lay eggs	0.162
on wheels	0.162
series finale	0.162
circuit breaker	0.162
child pornography	0.162
neural network	0.162
molecular biology	0.162
hang tough	0.162
black market	0.162
in heat	0.162
lightning bolt	0.162
wishful thinking	0.162
public life	0.162
in stitches	0.162
hard times	0.160
rip on	0.160
fall apart	0.160
whip up	0.160
disappointed with	0.160
black death	0.160
control group	0.160
early adopter	0.160
first love	0.158
load of	0.158
change over	0.158
like royalty	0.158
would appear	0.158
smart money	0.158
get married	0.158
mardi gras	0.158
alternate universe	0.158
pull away	0.158
value proposition	0.158
developing countries	0.158
treasure trove	0.158
press release	0.158
research team	0.158
go red	0.158
self-fulfilling prophecy	0.158
take notice	0.158
how high	0.158
beef jerky	0.158
sex change	0.158
quantum physics	0.158
slippery slope	0.158
amusement park	0.158
in action	0.158
social democracy	0.158
bear down	0.158
top secret	0.158
record player	0.158
bar exam	0.158
driver's seat	0.156
white knight	0.156
act out	0.156
hunker down	0.156
play around	0.156
top class	0.156
get changed	0.156
legally binding	0.156
electric toothbrush	0.156
professional life	0.156
bad blood	0.156
slight disgust	0.156
instant noodles	0.156
razor blade	0.156
twilight zone	0.156
geneva convention	0.156
douche bag	0.156
top ten	0.156
on fire	0.156
postal service	0.156
talk up	0.156
busy signal	0.156
risk assessment	0.156
guiding light	0.156
space ship	0.156
screw up	0.156
brain cell	0.156
driving range	0.156
crossing guard	0.156
brand new	0.156
pitch for	0.156
high tech	0.156
in league	0.156
life saver	0.156
hammer in	0.154
step over	0.154
knock down	0.154
push off	0.154
laugh at	0.154
gym rat	0.154
wipe out	0.154
pussy out	0.154
drive up	0.154
get credit	0.154
all out	0.154
hissy fit	0.154
heart failure	0.154
accused of	0.154
get caught	0.154
national treasure	0.154
the following	0.154
moving in	0.154
deep rooted	0.154
step forward	0.154
state trooper	0.154
miracle worker	0.154
get started	0.152
prey on	0.152
smoke detector	0.152
hit with	0.152
put pressure	0.152
clint eastwood	0.152
party pooper	0.152
energy efficient	0.152
broken up	0.152
drum up	0.152
smoke screen	0.152
narrow minded	0.152
get on	0.152
public eye	0.152
case study	0.152
double header	0.152
public places	0.152
in business	0.152
answering machine	0.152
pay dividends	0.152
financial support	0.152
main course	0.152
take charge	0.152
tough times	0.152
hot stuff	0.152
gay rights	0.152
double negative	0.152
remote control	0.152
descend into	0.152
musical instruments	0.152
recording studio	0.150
extra large	0.150
red line	0.150
all important	0.150
self deprecating	0.150
in gear	0.150
glass ceiling	0.150
ball park	0.150
swine flu	0.150
private sector	0.150
jet black	0.150
medical aid	0.150
lead character	0.150
thousand times	0.150
pickup line	0.150
call off	0.150
lead up	0.150
security guard	0.150
news media	0.150
bulk up	0.150
raw talent	0.150
reaction time	0.150
red herring	0.150
bumper sticker	0.150
ancient egypt	0.150
flip out	0.150
lock up	0.150
fundamental right	0.150
roller skates	0.150
spice up	0.150
go over	0.150
running shoes	0.149
state senator	0.148
mortality rate	0.148
you're kidding	0.148
nose bleed	0.148
software engineer	0.148
fashion statement	0.148
face shield	0.148
music group	0.148
conventional wisdom	0.148
hippocratic oath	0.148
do damage	0.148
hocus pocus	0.148
street corner	0.148
gay bar	0.148
asian american	0.148
academic year	0.148
turn against	0.148
studio audience	0.148
mental health	0.148
beat on	0.148
ivy league	0.148
brazilian wax	0.148
get dressed	0.148
people pleaser	0.148
current affairs	0.148
caste system	0.148
like fun	0.148
space opera	0.148
wrap around	0.148
rock on	0.148
die for	0.148
nuclear waste	0.146
high rise	0.146
blind person	0.146
pay cheque	0.146
property management	0.146
hundred thousand	0.146
manual transmission	0.146
earn money	0.146
planned parenthood	0.146
feedback loop	0.146
fall victim	0.146
insurance policy	0.146
get yours	0.146
use up	0.146
think ahead	0.146
sperm donor	0.146
hot water	0.144
thrive on	0.144
pay raise	0.144
interested in	0.144
master bedroom	0.144
full extent	0.144
trip over	0.144
whole life	0.144
relative to	0.144
awesome sauce	0.144
move along	0.142
wrong reasons	0.142
amped up	0.142
strip mall	0.142
love triangle	0.142
hot weather	0.142
beer store	0.142
gas leak	0.142
ramble on	0.142
safe return	0.142
squeeze out	0.142
work for	0.142
grand rounds	0.142
program director	0.142
switched on	0.142
northern hemisphere	0.142
listen up	0.142
rained out	0.142
first strike	0.142
phone service	0.142
slam on	0.142
live for	0.142
bad apple	0.142
personal assistant	0.142
long ball	0.142
theme park	0.142
roger that	0.142
stamp on	0.140
die of	0.140
call center	0.140
conspiracy theory	0.140
man up	0.140
